x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
0.02749999999999997,-3.7016501663394124e-06,4.305475912597376e-05,1.1506868394248035e-05,-0.00014411082860074523,4.49735890757837e-05,1.2019697269652994e-05,0.48091822419347213,6.76570080957438e-05,1.8082096007747434e-05
0.03249999999999997,3.467769858401345e-06,4.683549140892673e-05,1.2517311599528439e-05,-0.00014845742966999387,4.681253689194952e-05,1.2511176746813612e-05,0.4808076282425565,7.788886947885854e-05,2.081667598807446e-05
0.03749999999999998,1.8172255005603569e-06,5.891239421496381e-05,1.5744999641925552e-05,-0.00015199718646705175,4.770320483761521e-05,1.2749217768103811e-05,0.48064302559844585,9.022431711337891e-05,2.4113463042422054e-05
0.04249999999999998,-1.1839235704791788e-05,4.3833952396832445e-05,1.171511655550753e-05,-0.0001292432124419534,4.615694801475288e-05,1.2335963249310068e-05,0.4804516218715373,7.53399650911087e-05,2.013545263588841e-05
0.04749999999999999,-1.741161856119271e-05,5.566041551608681e-05,1.4875871776190937e-05,-0.0001422674713099878,3.6461968669726166e-05,9.744871029242924e-06,0.4802356330637605,8.05560708553359e-05,2.1529515540382326e-05
0.05249999999999999,5.410616228868403e-06,5.772912629106471e-05,1.5428757987069143e-05,-0.00017194405086234083,6.0873612841695846e-05,1.626915736776774e-05,0.4800349524812544,6.78479086713817e-05,1.813311633267422e-05
0.057499999999999996,2.1023034839121495e-05,4.368469575408071e-05,1.1675226039802025e-05,-0.00013048911410692773,4.343134225176844e-05,1.1607514468131185e-05,0.4798166101238174,6.834008095710927e-05,1.826465490899265e-05
0.0625,2.2787185534552393e-05,4.3101047495277133e-05,1.1519239481314156e-05,-0.00012816927803455585,5.761983952784429e-05,1.5399549871006265e-05,0.4795065210707723,6.883014391534563e-05,1.8395629743826174e-05
0.0675,2.803039091411348e-05,4.482329727336249e-05,1.1979530095888644e-05,-0.00013240136905430896,3.713954103392253e-05,9.925959860783581e-06,0.47920813100961634,5.934750816815537e-05,1.5861288737428955e-05
0.07250000000000001,2.7420833880235518e-05,3.9110330978682785e-05,1.0452675628968725e-05,-0.00015019723556559717,4.413530026433973e-05,1.179565516082519e-05,0.4788965344241536,9.412694593899422e-05,2.5156484469079228e-05
0.07750000000000001,2.3784165219871267e-05,4.5906584283538304e-05,1.226905072757583e-05,-0.00014500433940157164,6.372259715818428e-05,1.7030580454381454e-05,0.4785457241415981,9.020354740340019e-05,2.410791210393898e-05
0.08250000000000002,1.3411470728097106e-05,4.624015517059465e-05,1.2358201297116338e-05,-0.00013650230816706653,4.487133804085816e-05,1.1992369531071964e-05,0.47821566665289067,7.167273393143012e-05,1.915534388177277e-05
0.08750000000000002,7.436492110393526e-06,4.5439166412915034e-05,1.2144128046980995e-05,-0.00012862293474455146,5.365185986446535e-05,1.4339062698288365e-05,0.47781900716923686,7.469851350218051e-05,1.9964017487604762e-05
0.09250000000000003,8.873412163295984e-06,5.079653032355308e-05,1.357594377911492e-05,-0.0001283668852528168,4.878469796554575e-05,1.303825896459428e-05,0.4774026678373986,5.575687803477336e-05,1.4901652468733104e-05
0.09750000000000003,1.0614473584133766e-05,5.459419511887608e-05,1.4590912388680037e-05,-0.00014220886579014016,4.250785419511818e-05,1.1360701903219545e-05,0.4769908992909131,4.3707876231474924e-05,1.1681421282978524e-05
0.10250000000000004,2.673381416405745e-05,5.876875149422991e-05,1.5706609509990532e-05,-0.00014467439685594824,4.229118613411921e-05,1.1302794928154202e-05,0.4765189651616212,6.915173841284629e-05,1.8481579488620404e-05
0.10750000000000004,2.4908769564641564e-05,6.324723994787068e-05,1.690353589600102e-05,-0.00015439671437703689,3.689485334785658e-05,9.860564325924919e-06,0.47605833855281965,8.081870021192858e-05,2.159970618838795e-05
0.11250000000000004,2.7033958944594776e-05,5.551724303886653e-05,1.4837607322121367e-05,-0.00011635772133563583,4.965760324289697e-05,1.3271552713091077e-05,0.47557976759501147,5.3292382624419e-05,1.424298836467433e-05
0.11750000000000005,4.5040446192600075e-05,5.1613824746475455e-05,1.3794374901593253e-05,-0.00013594996756087008,6.422328574875704e-05,1.7164395108909312e-05,0.4750754449987862,7.05725282795369e-05,1.886130155288872e-05
